"X","Y","osm_id","type","name","brand","address","com_nom","last_update","cat_mag"
3.0597996,50.6359898993169,"node/2876224634","games","Warhammer","Warhammer",,"Lille","2021-10-18",1
3.0902071,50.6328012993175,"node/1788669982","convenience","Le Petit Casino","Le Petit Casino",,"Lille","2020-07-05",1
2.9781519,50.6513139993138,"node/6335434106","bank","Crédit Agricole","Crédit Agricole",,"Lille","2019-09-25",1
3.0546683,50.6339643993173,"node/5613162233","books","Place Ronde",,,"Lille","2022-02-26",0
3.0630972,50.6432039993154,"node/9005239425","nightclub","Les Folies",,,"Lille","2021-08-13",0
3.0682518,50.61998399932,"node/5956476493","fast_food","Bio'Appétit",,,"Lille","2021-03-28",0
3.0648209,50.6406666993159,"node/5350606164","clothes","Cozette",,,"Lille","2021-12-21",0
3.0670174,50.6360926993168,"node/5236135526","hairdresser","Dessange","Dessange",,"Lille","2019-06-04",1
3.0722672,50.6347201993171,"node/4391952289","bakery","La p'tite boulangerie",,,"Lille","2021-12-20",0
3.058883,50.6287770993183,"node/4509013420","restaurant","Octopus",,,"Lille","2022-08-04",0
3.0187666,50.640304899316,"node/5700475752","restaurant","Mama Francesca",,,"Lille","2022-10-29",0
3.0637834,50.6345058993171,"node/5156716839","clothes","Bizzbee","Bizzbee",,"Lille","2021-04-13",1
3.0550752,50.6323148993176,"node/4422206341","bar","Magnum Café",,,"Lille","2021-12-06",0
3.0451238,50.630322999318,"node/5316414396","cafe","Le Caf&diskaire",,,"Lille","2022-07-06",0
3.0748978,50.6329149993174,"node/9405062817","restaurant","Au 30 meal",,"30 Rue Paul Duez","Lille","2022-01-09",0
3.0691541,50.6342820993172,"node/4845232030","convenience","Au Bon Coin du Monde",,,"Lille","2022-08-29",0
3.0697987,50.6280066993184,"node/2096356686","bar","Le Loc'Ale",,,"Lille","2022-07-25",0
3.0623021,50.6377204993165,"node/4846431898","candles","My Jolie Candles",,,"Lille","2022-08-10",0
3.0572074,50.6273828993185,"node/10154338668","fast_food","Le Bon Jeune",,,"Lille","2022-11-03",0
3.0280672,50.6176547993205,"node/6130500998","fast_food","Tel Pizza",,,"Lille","2021-12-18",0
3.0659368,50.6292122993182,"node/7926193095","car_repair","Midas","Midas",,"Lille","2021-11-29",1
3.0561365,50.6306763993179,"node/9971948440","bar","Le Zeppelin",,,"Lille","2022-08-23",0
3.065192,50.6362237993168,"node/5163090883","music","Urban Music",,,"Lille","2018-05-15",0
